id,site,location,treatment,datetime,temp,day,hour
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T21:00:00Z,12.5,159,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T22:00:00Z,12.5,159,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-07T23:00:00Z,12,159,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T00:00:00Z,12,160,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T01:00:00Z,12,160,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T02:00:00Z,12,160,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T03:00:00Z,11.5,160,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T04:00:00Z,11.5,160,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T05:00:00Z,11.5,160,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T06:00:00Z,11.5,160,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T07:00:00Z,11,160,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T08:00:00Z,11.5,160,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T09:00:00Z,12,160,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T10:00:00Z,12,160,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T11:00:00Z,12,160,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T12:00:00Z,12.5,160,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T13:00:00Z,12.5,160,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T14:00:00Z,12.5,160,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T15:00:00Z,13,160,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T16:00:00Z,12.5,160,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T17:00:00Z,12,160,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T18:00:00Z,12,160,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T19:00:00Z,12.5,160,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T20:00:00Z,11.5,160,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T21:00:00Z,11,160,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T22:00:00Z,11,160,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-08T23:00:00Z,10.5,160,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T00:00:00Z,10,161,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T01:00:00Z,10,161,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T02:00:00Z,10,161,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T03:00:00Z,10.5,161,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T04:00:00Z,10.5,161,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T05:00:00Z,10.5,161,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T06:00:00Z,11,161,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T07:00:00Z,10.5,161,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T08:00:00Z,10.5,161,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T09:00:00Z,11.5,161,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T10:00:00Z,11.5,161,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T11:00:00Z,11.5,161,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T12:00:00Z,12,161,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T13:00:00Z,12,161,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T14:00:00Z,12.5,161,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T15:00:00Z,12,161,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T16:00:00Z,12,161,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T17:00:00Z,12,161,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T18:00:00Z,12,161,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T19:00:00Z,12,161,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T20:00:00Z,12,161,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T21:00:00Z,12,161,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T22:00:00Z,11.5,161,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-09T23:00:00Z,11,161,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T00:00:00Z,11,162,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T01:00:00Z,10.5,162,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T02:00:00Z,10.5,162,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T03:00:00Z,10.5,162,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T04:00:00Z,10,162,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T05:00:00Z,10,162,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T06:00:00Z,10,162,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T07:00:00Z,10,162,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T08:00:00Z,10.5,162,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T09:00:00Z,11,162,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T10:00:00Z,11,162,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T11:00:00Z,11.5,162,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T12:00:00Z,11.5,162,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T13:00:00Z,11.5,162,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T14:00:00Z,11.5,162,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T15:00:00Z,11.5,162,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T16:00:00Z,11.5,162,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T17:00:00Z,11.5,162,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T18:00:00Z,11.5,162,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T19:00:00Z,11.5,162,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T20:00:00Z,11.5,162,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T21:00:00Z,12,162,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T22:00:00Z,11.5,162,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-10T23:00:00Z,11.5,162,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T00:00:00Z,11.5,163,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T01:00:00Z,11.5,163,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T02:00:00Z,10.5,163,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T03:00:00Z,10.5,163,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T04:00:00Z,10.5,163,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T05:00:00Z,10,163,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T06:00:00Z,10,163,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T07:00:00Z,10,163,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T08:00:00Z,10.5,163,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T09:00:00Z,11,163,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T10:00:00Z,11,163,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T11:00:00Z,11,163,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T12:00:00Z,11.5,163,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T13:00:00Z,11.5,163,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T14:00:00Z,11.5,163,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T15:00:00Z,11.5,163,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T16:00:00Z,11.5,163,16
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T17:00:00Z,11.5,163,17
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T18:00:00Z,11.5,163,18
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T19:00:00Z,11.5,163,19
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T20:00:00Z,12,163,20
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T21:00:00Z,12,163,21
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T22:00:00Z,12,163,22
OTM1,Ledge1B,Rookery,Shaded,2020-06-11T23:00:00Z,11.5,163,23
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T00:00:00Z,11.5,164,0
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T01:00:00Z,11.5,164,1
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T02:00:00Z,11,164,2
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T03:00:00Z,11,164,3
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T04:00:00Z,11,164,4
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T05:00:00Z,11,164,5
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T06:00:00Z,10.5,164,6
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T07:00:00Z,11,164,7
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T08:00:00Z,11,164,8
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T09:00:00Z,11.5,164,9
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T10:00:00Z,11.5,164,10
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T11:00:00Z,11.5,164,11
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T12:00:00Z,11.5,164,12
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T13:00:00Z,12,164,13
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T14:00:00Z,12,164,14
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T15:00:00Z,12,164,15
OTM1,Ledge1B,Rookery,Shaded,2020-06-12T16:00:00Z,12,164,16
